run_no,spat_feed,diff_mort,juv-mort,time,BA
2,TRUE,TRUE,0,42,32.51299929
6,TRUE,TRUE,0,49,36.89131482
1,TRUE,TRUE,0,50,34.19451643
5,TRUE,TRUE,0,41,36.31145187
7,TRUE,TRUE,0,59,41.29128617
3,TRUE,TRUE,0,46,38.11768905
4,TRUE,TRUE,0,34,35.41564744
7,TRUE,TRUE,0,60,41.63470484
3,TRUE,TRUE,0,47,38.87375037
1,TRUE,TRUE,0,51,34.4591061
8,TRUE,TRUE,0,37,36.34188203
7,TRUE,TRUE,0,61,41.34404069
4,TRUE,TRUE,0,35,35.20554089
2,TRUE,TRUE,0,43,32.95445134
6,TRUE,TRUE,0,50,37.50112975
5,TRUE,TRUE,0,42,36.75388145
3,TRUE,TRUE,0,48,38.598307
7,TRUE,TRUE,0,62,41.862479
1,TRUE,TRUE,0,52,35.32255043
8,TRUE,TRUE,0,38,36.70991218
7,TRUE,TRUE,0,63,41.37535958
2,TRUE,TRUE,0,44,32.62739066
5,TRUE,TRUE,0,43,36.51968356
6,TRUE,TRUE,0,51,36.41355214
7,TRUE,TRUE,0,64,40.30285642
3,TRUE,TRUE,0,49,39.26101587
8,TRUE,TRUE,0,39,35.99798271
7,TRUE,TRUE,0,65,40.62582219
4,TRUE,TRUE,0,36,35.95367325
7,TRUE,TRUE,0,66,41.31963297
2,TRUE,TRUE,0,45,33.36639444
5,TRUE,TRUE,0,44,37.16562477
3,TRUE,TRUE,0,50,39.95634152
6,TRUE,TRUE,0,52,37.04666396
7,TRUE,TRUE,0,67,41.16359637
8,TRUE,TRUE,0,40,36.62893662
4,TRUE,TRUE,0,37,36.48968316
3,TRUE,TRUE,0,51,40.42435389
7,TRUE,TRUE,0,68,41.63223382
2,TRUE,TRUE,0,46,34.06452196
5,TRUE,TRUE,0,45,37.75284808
6,TRUE,TRUE,0,53,37.60976233
1,TRUE,TRUE,0,53,35.49671139
7,TRUE,TRUE,0,69,41.74147696
8,TRUE,TRUE,0,41,36.85313019
3,TRUE,TRUE,0,52,40.83481729
4,TRUE,TRUE,0,38,36.66647043
7,TRUE,TRUE,0,70,42.23632916
2,TRUE,TRUE,0,47,34.47557968
5,TRUE,TRUE,0,46,38.14250372
6,TRUE,TRUE,0,54,37.99610438
1,TRUE,TRUE,0,54,34.29975811
7,TRUE,TRUE,0,71,42.97136382
2,TRUE,TRUE,0,48,34.41726226
8,TRUE,TRUE,0,42,37.09584942
5,TRUE,TRUE,0,47,38.08716663
6,TRUE,TRUE,0,55,38.5148502
7,TRUE,TRUE,0,72,43.19433308
4,TRUE,TRUE,0,39,37.16177945
3,TRUE,TRUE,0,53,41.50258632
5,TRUE,TRUE,0,48,38.31871608
7,TRUE,TRUE,0,73,43.60343446
3,TRUE,TRUE,0,54,42.20499952
4,TRUE,TRUE,0,40,37.80164928
2,TRUE,TRUE,0,49,34.63348196
8,TRUE,TRUE,0,43,37.88975376
1,TRUE,TRUE,0,55,34.89397496
3,TRUE,TRUE,0,55,42.68983069
4,TRUE,TRUE,0,41,37.65446023
5,TRUE,TRUE,0,49,38.63873228
8,TRUE,TRUE,0,44,37.82975946
6,TRUE,TRUE,0,56,39.37525186
7,TRUE,TRUE,0,74,43.48496011
1,TRUE,TRUE,0,56,35.35157285
2,TRUE,TRUE,0,50,34.53021344
8,TRUE,TRUE,0,45,38.10210066
5,TRUE,TRUE,0,50,38.71993264
6,TRUE,TRUE,0,57,40.0767499
4,TRUE,TRUE,0,42,37.33679052
1,TRUE,TRUE,0,57,35.02693411
2,TRUE,TRUE,0,51,35.29136724
