"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.32.nlogo"
"Experiment_1"
"01/24/2016 18:48:58:380 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"5","true","0","1","19","33.15839540587545","252","19.98028561772062","19.249409065084564"
"8","true","0","1","16","38.19632589838505","325","24.21456152764709","18.74470970658564"
"3","true","0","1","13","36.41105814997218","321","18.620755817863568","17.829439382788717"
"6","true","0","1","18","35.441238947898405","273","20.300088323780262","19.571611815595887"
"4","true","0","1","17","35.511750744168516","256","21.701093545532785","20.53791161025971"
"7","true","0","1","16","38.26492187818835","333","17.982285459970964","17.93109825662534"
"1","true","0","1","17","37.241219783338714","264","16.435705794562917","19.06544024884316"
"5","true","0","1","20","33.23999631767631","251","19.698752522348222","19.157756317526673"
"2","true","0","1","17","35.94238305518234","289","21.838411104649076","19.555827639246477"
"8","true","0","1","17","37.99638039863552","321","23.96437885454386","18.79141395887798"
"6","true","0","1","19","35.065926332902826","269","19.77403113736065","19.445467821598974"
"3","true","0","1","14","36.38187726503429","318","18.485396093949394","17.796408500760357"
"1","true","0","1","18","37.448694201107905","264","16.103574634672466","18.85857303171638"
"5","true","0","1","21","33.21190943661265","250","19.271310998709893","19.03049927454145"
"2","true","0","1","18","35.77789326074835","286","21.221788126758668","19.497015999554815"
