run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
6,TRUE,0,48,34.23945594,465,12.12601071,13.0459268
8,TRUE,0,47,30.79381731,302,10.64295683,13.65651389
9,TRUE,0,4,45.0946739,401,22.89583762,19.28828012
7,TRUE,0,48,32.37158836,353,13.45740206,14.98181411
6,TRUE,0,49,34.35860248,467,12.12836839,12.97092079
9,TRUE,0,5,45.0553827,399,22.92883488,19.22769427
8,TRUE,0,48,30.86875732,301,10.62593485,13.52864617
7,TRUE,0,49,32.2381636,351,13.36540249,14.82349863
9,TRUE,0,6,44.17225942,393,22.67166694,19.07603563
6,TRUE,0,50,34.54420393,471,12.15793705,12.90322023
10,TRUE,0,0,46.9249392,421,34.11980013,15.98196476
7,TRUE,0,50,32.35739797,349,13.30914416,14.71745332
8,TRUE,0,49,30.40668979,298,10.45582226,13.20314434
10,TRUE,0,1,46.75906229,418,34.20169636,15.96756789
9,TRUE,0,7,44.17066461,389,22.6426852,19.0737836
11,TRUE,0,0,49.64686536,412,35.9157596,15.64396715
10,TRUE,0,2,45.51327381,412,34.15732042,15.49885687
8,TRUE,0,50,30.73556115,299,10.49722011,13.0964253
11,TRUE,0,1,49.23064865,408,21.27663553,20.52578237
9,TRUE,0,8,44.16188216,386,22.46864213,19.06295629
10,TRUE,0,3,45.45942225,409,34.29203601,15.48016711
11,TRUE,0,2,48.47761026,400,21.03872543,20.43383039
12,TRUE,0,0,47.36423944,401,35.56520625,15.4728472
9,TRUE,0,9,43.15238334,379,22.19980015,18.89043849
12,TRUE,0,1,46.87056019,397,23.6096641,20.29215664
10,TRUE,0,4,45.38371103,403,34.57304025,15.45853954
12,TRUE,0,2,47.08779703,395,23.5658061,20.2651816
9,TRUE,0,10,42.76267107,377,22.13696736,18.72551592
11,TRUE,0,3,48.47721183,396,21.09601241,20.40333808
10,TRUE,0,5,45.16355068,400,34.64763804,15.41262925
12,TRUE,0,3,47.26893933,394,23.61827689,20.21830496
9,TRUE,0,11,42.97531059,376,22.04506332,18.70565723
11,TRUE,0,4,48.32682328,393,21.0516199,20.32537275
10,TRUE,0,6,44.67767978,396,34.67939304,15.30505482
12,TRUE,0,4,47.10893654,391,23.52976107,20.16457971
9,TRUE,0,12,41.28002028,368,21.5360384,18.31553209
10,TRUE,0,7,44.66894073,393,34.84491491,15.27810402
11,TRUE,0,5,48.06515306,388,20.98993825,20.27505729
12,TRUE,0,5,46.3799401,382,23.42831008,20.14152686
11,TRUE,0,6,47.00642619,382,20.88055787,20.06778337
10,TRUE,0,8,44.37914217,389,34.92059117,15.28208813
9,TRUE,0,13,41.29377359,367,21.5692481,18.28230883
12,TRUE,0,6,45.84896685,375,23.33407215,20.13249906
