run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
15,FALSE,TRUE,0.4,132,30.14912839,68
17,FALSE,TRUE,0.8,34,40.12732448,213
16,FALSE,TRUE,0.6,69,33.96824809,128
15,FALSE,TRUE,0.4,133,29.77061189,67
17,FALSE,TRUE,0.8,35,40.59467453,213
16,FALSE,TRUE,0.6,70,34.32321469,128
15,FALSE,TRUE,0.4,134,29.77974454,66
16,FALSE,TRUE,0.6,71,34.65270924,128
15,FALSE,TRUE,0.4,135,30.02011988,66
13,FALSE,TRUE,0,117,57.57704947,732
15,FALSE,TRUE,0.4,136,30.2585808,66
17,FALSE,TRUE,0.8,36,41.00491786,210
16,FALSE,TRUE,0.6,72,34.97058268,127
15,FALSE,TRUE,0.4,137,30.18918402,65
16,FALSE,TRUE,0.6,73,34.15061249,123
17,FALSE,TRUE,0.8,37,41.17613814,208
15,FALSE,TRUE,0.4,138,29.0538695,62
16,FALSE,TRUE,0.6,74,33.76593402,120
17,FALSE,TRUE,0.8,38,40.60723059,205
16,FALSE,TRUE,0.6,75,33.75823772,118
15,FALSE,TRUE,0.4,139,29.27042602,62
13,FALSE,TRUE,0,118,58.97635858,752
17,FALSE,TRUE,0.8,39,41.10208194,205
15,FALSE,TRUE,0.4,140,29.50094172,62
16,FALSE,TRUE,0.6,76,33.87182558,117
15,FALSE,TRUE,0.4,141,29.68033428,62
16,FALSE,TRUE,0.6,77,32.52347379,115
15,FALSE,TRUE,0.4,142,29.89821676,62
13,FALSE,TRUE,0,119,58.21074882,723
17,FALSE,TRUE,0.8,40,41.31275228,203
16,FALSE,TRUE,0.6,78,32.66665263,114
15,FALSE,TRUE,0.4,143,30.07123465,62
16,FALSE,TRUE,0.6,79,32.99754248,114
17,FALSE,TRUE,0.8,41,41.68990626,202
15,FALSE,TRUE,0.4,144,30.27512852,62
17,FALSE,TRUE,0.8,42,41.62041763,201
16,FALSE,TRUE,0.6,80,32.45893401,112
15,FALSE,TRUE,0.4,145,30.51275465,62
17,FALSE,TRUE,0.8,43,41.98207723,199
16,FALSE,TRUE,0.6,81,32.76588908,112
15,FALSE,TRUE,0.4,146,30.70641511,62
16,FALSE,TRUE,0.6,82,32.78452234,111
15,FALSE,TRUE,0.4,147,30.50988841,61
16,FALSE,TRUE,0.6,83,32.62152956,110
13,FALSE,TRUE,0,120,56.63301908,628
17,FALSE,TRUE,0.8,44,42.37368728,197
15,FALSE,TRUE,0.4,148,30.4252195,60
16,FALSE,TRUE,0.6,84,32.62659467,109
15,FALSE,TRUE,0.4,149,30.61973022,60
17,FALSE,TRUE,0.8,45,41.444428,192
16,FALSE,TRUE,0.6,85,32.87367737,108
15,FALSE,TRUE,0.4,150,30.33425651,59
18,FALSE,TRUE,1,0,38.97768555,185
17,FALSE,TRUE,0.8,46,41.8515958,191
16,FALSE,TRUE,0.6,86,31.68199674,106
13,FALSE,TRUE,0,121,55.39645389,554
16,FALSE,TRUE,0.6,87,31.43434929,103
17,FALSE,TRUE,0.8,47,41.71220789,189
18,FALSE,TRUE,1,1,38.05865604,185
18,FALSE,TRUE,1,2,37.70888782,182
16,FALSE,TRUE,0.6,88,31.75416274,103
18,FALSE,TRUE,1,3,38.08998423,179
13,FALSE,TRUE,0,122,56.57315409,556
16,FALSE,TRUE,0.6,89,31.8982678,102
17,FALSE,TRUE,0.8,48,41.95016341,188
16,FALSE,TRUE,0.6,90,31.63475771,99
16,FALSE,TRUE,0.6,91,31.5681451,98
17,FALSE,TRUE,0.8,49,42.47209735,188
18,FALSE,TRUE,1,4,36.84622228,172
18,FALSE,TRUE,1,5,37.12325199,171
17,FALSE,TRUE,0.8,50,42.97086178,188
13,FALSE,TRUE,0,123,56.65398245,548
16,FALSE,TRUE,0.6,92,31.86320924,98
18,FALSE,TRUE,1,6,36.6142897,169
17,FALSE,TRUE,0.8,51,43.0778459,187
16,FALSE,TRUE,0.6,93,31.7821585,97
18,FALSE,TRUE,1,7,36.19806531,168
16,FALSE,TRUE,0.6,94,32.11005614,97
16,FALSE,TRUE,0.6,95,32.39565718,97
17,FALSE,TRUE,0.8,52,43.52431236,186
18,FALSE,TRUE,1,8,35.0910369,167
16,FALSE,TRUE,0.6,96,32.69127003,97
18,FALSE,TRUE,1,9,35.51011465,168
16,FALSE,TRUE,0.6,97,32.54582732,93
13,FALSE,TRUE,0,124,55.48121739,500
17,FALSE,TRUE,0.8,53,43.99366252,186
16,FALSE,TRUE,0.6,98,32.83006765,93
18,FALSE,TRUE,1,10,35.72985526,172
17,FALSE,TRUE,0.8,54,44.46381824,186
16,FALSE,TRUE,0.6,99,33.12364021,93
18,FALSE,TRUE,1,11,35.49094512,172
17,FALSE,TRUE,0.8,55,44.68575749,185
16,FALSE,TRUE,0.6,100,33.35360196,93
13,FALSE,TRUE,0,125,54.25742765,459
16,FALSE,TRUE,0.6,101,33.41700522,92
18,FALSE,TRUE,1,12,35.93023773,172
16,FALSE,TRUE,0.6,102,33.49175013,91
18,FALSE,TRUE,1,13,36.35782378,174
17,FALSE,TRUE,0.8,56,44.08210495,184
16,FALSE,TRUE,0.6,103,33.38646244,90
18,FALSE,TRUE,1,14,36.34480393,174
17,FALSE,TRUE,0.8,57,44.39464773,183
13,FALSE,TRUE,0,126,53.95020193,462
18,FALSE,TRUE,1,15,36.34735802,173
16,FALSE,TRUE,0.6,104,33.37399111,89
17,FALSE,TRUE,0.8,58,43.9392058,180
16,FALSE,TRUE,0.6,105,33.6475933,89
16,FALSE,TRUE,0.6,106,33.09544288,87
