ID,Dead,GR,DBH,SL
846,0,1.125,31.2,18
880,0,9.875,25.8,18
888,0,4.125,21.3,18
891,0,2,29.3,18
908,0,4.875,25.5,18
909,0,1.5,11.5,18
910,0,1,13.4,18
938,0,3.25,11.5,18
940,0,2.75,11.5,18
941,0,2.5,37.6,18
943,0,2.125,22.3,18
944,1,-0.75,30.9,18
949,0,1.625,30.9,18
966,0,6.375,16.2,18
967,0,0.875,8.3,18
975,0,3.75,13.1,18
982,0,2.625,10.5,18
986,0,5,19.4,18
1001,0,3.125,30.6,18
1002,0,3.5,13.7,18
1005,0,5.375,76.7,18
1006,0,2.625,24.8,18
1007,0,4.75,32.5,18
1009,0,4,18.8,18
1020,0,2.25,25.1,18
1027,1,0.875,39.8,18
1030,0,4.625,29.9,18
1031,0,3.375,19.1,18
1034,1,0.875,19.4,18
1041,0,4.125,39.2,18
1044,1,5.375,28.6,18
1046,0,5.25,82.1,18
1053,0,1.875,108.9,18
1053,0,1.875,108.9,18
1083,0,6.125,14,18
1104,0,3.125,31.5,18
1109,1,-0.625,64.3,18
1114,0,2.75,139.4,18
1115,0,5.25,15.3,18
1118,0,5.125,26.7,18
1124,0,5.75,15.9,18
1126,0,6.125,16.6,18
1156,0,8.375,55.4,18
1169,0,2.25,70.7,18
1187,0,4.625,24.8,18
1188,0,5.125,21,18
1192,0,1.625,43.9,18
1195,0,5,43.6,18
1211,0,0.625,62.4,18
1216,0,3.125,7,18
1219,0,2.75,17.5,18
1221,0,2,16.9,18
1224,0,4.625,57,18
1226,0,3.875,41.7,18
1234,0,1.875,22.3,18
1236,0,1.625,9.5,18
1237,0,2.25,8.9,18
1239,1,2.5,86.3,18
1243,0,2,35.3,18
1253,0,3.625,73.8,18
1262,0,3.125,46.5,18
1263,1,0.125,75.1,18
1266,1,0,35,18
1268,0,2.75,12.4,18
1270,0,0,57.3,18
1276,0,3.375,17.2,18
1287,0,3,82.4,18
1291,0,2.625,40.1,18
1310,0,2.625,41.4,18
1312,0,5.625,21.6,18
1315,0,1.75,13.4,18
1317,0,2.375,32.1,18
1317,0,2.375,32.1,18
1331,0,2.625,34.4,18
1331,0,2.625,34.4,18
1338,1,0.375,8.3,18
1338,1,0.375,8.3,18
1346,0,1.375,15,18
1348,0,0.875,41.7,18
1353,0,8,26.4,18
1360,0,2,32.8,18
1360,0,2,32.8,18
1361,0,2.875,54.7,18
1364,0,1.625,20.7,18
1364,0,1.625,20.7,18
1365,0,2.375,43.9,18
1365,0,2.375,43.9,18
1372,0,1.375,10.8,18
1372,0,1.375,10.8,18
1374,0,3.375,20.7,18
1374,0,3.375,20.7,18
1380,0,6,25.8,18
1384,0,3,33.1,18
1385,0,3.5,20.1,18
1386,0,0.5,23.2,18
1397,0,2.5,48.1,18
1398,0,0.5,38.5,18
1399,0,2.375,37.6,18
1428,0,2.875,22.6,18
1432,0,4.25,26.4,18
1452,0,0,8.9,18
1458,0,1,56.7,18
1470,0,3,22.3,18
1471,0,1.875,28.6,18
1474,0,1.75,43.6,18
1475,0,1.375,65.6,18
1476,0,0.125,25.8,18
1487,0,2.125,69.1,18
1502,0,3.75,50,18
1509,0,3.625,28,18
1537,0,2.625,26.1,18
1544,0,2.125,15,18
1547,0,1,10.2,18
1554,0,3.625,19.7,18
1564,0,2.5,14,18
1572,0,0.75,4.5,18
1575,0,0.875,74.5,18
1583,0,1,8.3,18
1594,1,2.5,13.7,18
1598,0,3.75,20.7,18
1610,0,0.75,78,18
1624,0,0.875,15,18
1626,0,3.5,46.5,18
1627,0,2.5,15.9,18
1628,0,0,7.3,18
1630,0,0.75,21,18
1644,0,3.375,17.8,18
1665,0,4.125,14,18
1671,0,2.75,8.9,18
1672,0,4.125,14,18
1674,0,2.625,8.3,18
1675,0,1.75,25.1,18
1677,0,2.75,55.4,18
1681,0,5.875,50.6,18
1690,0,2.625,9.5,18
1691,0,2,13.4,18
1692,0,1.25,5.4,18
1693,0,3.25,20.7,18
1700,0,1.75,20.4,18
1701,0,1.5,15.6,18
1702,0,0,8,18
