Block,Year,F_BA,I_BA,Q_BA,FS,IS,QS,FM,IM,QM,SDM,BAM,BAFM,BAQM,SDS,Northing,Easting
32,2014,26.15681648,0,0,0,0,0,7,0,0,7,26.15681648,26.15681648,0,0,106291,433008
33,1964,47.30011352,2.338523032,14.18625433,4,7,0,12,13,1,26,63.82489087,47.30011352,14.18625433,11,106269,433004
33,1984,56.58569929,2.434852116,16.94577041,0,3,0,12,7,1,20,75.96632181,56.58569929,16.94577041,3,106269,433004
33,1988,43.87591497,1.540951197,0,0,1,0,11,3,0,14,45.41686617,43.87591497,0,1,106269,433004
33,1996,43.20328035,1.50957454,0,0,1,0,7,3,0,10,44.71285489,43.20328035,0,1,106269,433004
33,2014,47.99342176,0,0,0,6,0,5,6,0,11,47.99342176,47.99342176,0,6,106269,433004
34,1964,33.49330468,7.073001335,0,3,11,0,8,32,0,40,40.56630601,33.49330468,0,14,106252,433005
34,1984,1.606060704,4.424579823,0,2,8,0,3,19,0,22,6.030640528,1.606060704,0,10,106252,433005
34,1988,0.204282062,2.117688703,0,1,4,0,2,9,0,11,2.321970765,0.204282062,0,5,106252,433005
34,1996,2.333123419,3.245795355,0,0,3,0,2,9,0,11,5.578918774,2.333123419,0,3,106252,433005
34,2014,4.762164577,3.84622788,0,0,0,0,2,5,0,7,8.608392457,4.762164577,0,0,106252,433005
35,1964,65.97148223,2.551071409,0,9,13,0,13,25,0,38,68.52255364,65.97148223,0,22,106234,433001
35,1984,69.45160113,3.519997489,0,3,5,0,8,14,0,22,72.97159862,69.45160113,0,8,106234,433001
35,1988,38.99821931,1.89212235,0,0,2,0,6,6,0,12,40.89034166,38.99821931,0,2,106234,433001
35,1996,41.49397905,1.253593644,0,0,0,0,6,3,0,9,42.7475727,41.49397905,0,0,106234,433001
35,2014,47.07176544,0,0,0,0,0,5,0,0,5,47.07176544,47.07176544,0,0,106234,433001
36,1964,37.09828225,2.002765317,0.441786467,3,12,0,6,20,1,27,39.54283403,37.09828225,0.441786467,15,106215,432996
36,1984,37.90510215,1.8604119,0,2,7,0,6,13,0,19,39.76551405,37.90510215,0,9,106215,432996
36,1988,14.28965199,0.724549441,0,1,5,0,4,7,0,11,15.01420144,14.28965199,0,6,106215,432996
36,1996,15.84079373,0.368528453,0,0,3,0,2,4,0,6,16.20932219,15.84079373,0,3,106215,432996
36,2014,20.53496653,0.39395822,0,0,1,0,2,2,0,4,20.92892475,20.53496653,0,1,106215,432996
37,1964,14.61822332,2.142173491,11.35489395,1,9,0,6,19,5,30,28.11529075,14.61822332,11.35489395,10,106188,433001
37,1984,15.00383418,2.344256438,11.68207119,1,6,0,6,15,4,25,29.0301618,15.00383418,11.68207119,7,106188,433001
37,1988,15.60065824,2.099820895,11.91674816,1,6,0,6,14,4,24,29.6172273,15.60065824,11.91674816,7,106188,433001
