Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
6,1959,162,NA,0.5,1,No,I,433053.4,106802.4,In
6,1964,162,NA,0.6,1,No,I,433053.4,106802.4,In
6,1959,163,NA,0.5,NA,No,I,433052.9,106802.9,In
6,1964,164,NA,1.1,1,No,I,433052.5,106786.4,In
6,1959,165,NA,0.5,NA,No,I,433052.2,106803.3,In
6,1964,165,NA,0.8,1,No,I,433052.2,106803.3,In
6,1964,166,NA,0.8,1,No,I,433052.1,106802.5,In
6,1959,167,NA,0.2,NA,No,I,433051.6,106803.4,In
6,1964,167,NA,0.8,1,No,I,433051.6,106803.4,In
6,1959,168,NA,0.2,NA,No,I,433051.4,106803,In
6,1964,169,NA,0.8,1,No,I,433051.4,106800.2,In
6,1964,170,NA,0.6,1,No,I,433051.2,106802.5,In
6,1964,171,NA,0.8,1,No,I,433051.2,106784.4,In
6,1964,172,NA,0.8,1,No,I,433051.1,106787.6,In
6,1964,173,NA,1,1,No,A,433050.9,106791.8,In
6,1964,174,NA,1,1,No,I,433050.2,106792.9,In
6,1964,175,NA,0.7,1,No,I,433050.2,106786.2,In
6,1964,176,NA,0.9,1,No,I,433047.3,106791.4,In
6,1959,177,NA,0.4,NA,No,F,433047.1,106794.9,In
6,1964,177,NA,1,1,No,F,433047.1,106794.9,In
6,1964,178,NA,0.9,1,No,F,433047.1,106794.5,In
6,1959,179,NA,67,NA,No,F,433046.8,106792.3,In
6,1964,179,NA,69,0,No,F,433046.8,106792.3,In
6,1964,180,NA,1.4,1,No,I,433045.6,106787.9,In
6,2014,180,21,6.68450761,1,No,I,433045.6,106787.9,In
6,1959,181,NA,57,NA,No,F,433045.3,106788.2,In
6,1964,181,NA,59,1,No,F,433045.3,106788.2,In
6,1984,181,195,62.1,1,No,F,433045.3,106788.2,In
6,1988,181,195,62.1,1,No,F,433045.3,106788.2,In
6,1996,181,197,62.7,1,No,F,433045.3,106788.2,In
6,2014,181,200.5,63.82113218,1,No,F,433045.3,106788.2,In
6,1964,183,NA,1,1,No,A,433044.7,106786.4,In
6,1964,184,NA,0.7,1,No,I,433044.5,106788.3,In
6,1959,185,NA,54,NA,No,F,433044,106801.6,In
6,1964,185,NA,59,1,No,F,433044,106801.6,In
6,1984,185,180,57.3,1,No,F,433044,106801.6,In
6,1988,185,179.5,57.1,1,No,F,433044,106801.6,In
