"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
45,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433049.6,106865.2,"I",1
45,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433049.6,106865.2,"I",1
45,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433049.6,106865.2,"I",1
46,1964,62,0.301907054009979,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433048.8,106852.8,"Q",0
46,1984,63.3,0.31470040469356,0,0,0,0,NA,NA,NA,NA,62,0.301907054009979,0.412516826576167,20,433048.8,106852.8,"Q",0
46,1988,63.3,0.31470040469356,0,0,0,0,0.649999999999999,6.39667534179048,0.102685624012638,0.00211875650364203,63.3,0.31470040469356,0.409086915431388,4,433048.8,106852.8,"Q",0
46,1996,63.3,0.31470040469356,0,0,0,0,0,0,0,0,63.3,0.31470040469356,0.405480684991803,12,433048.8,106852.8,"Q",0
46,2014,63.82113,0.319903403198502,1,1,1,1,0,0,0,0,63.3,0.31470040469356,0.449639720891842,18,433048.8,106852.8,"Q",0
47,1964,40,0.125663706143592,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,433048.3,106859.4,"Q",0
47,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,40,0.125663706143592,0.20742979485142,20,433048.3,106859.4,"Q",1
47,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433048.3,106859.4,"Q",1
47,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433048.3,106859.4,"Q",1
47,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433048.3,106859.4,"Q",1
48,1964,0.5,1.96349540849362e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433048.2,106866.3,"I",0
48,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.5,1.96349540849362e-05,1.15807984207354e-06,20,433048.2,106866.3,"I",1
48,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433048.2,106866.3,"I",1
48,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433048.2,106866.3,"I",1
