"ID2","Year","DBH","BA","Dead","Dead2","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL"
52,1964,0.7,3.84846e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
52,1984,NA,NA,NA,1,NA,NA,NA,NA,0.7,3.84846e-05,1.52574994578081e-05,20
52,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
52,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
52,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
53,1964,0.7,3.84846e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
53,1984,NA,NA,NA,1,NA,NA,NA,NA,0.7,3.84846e-05,1.52574994578081e-05,20
53,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
53,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
53,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
54,1964,69,0.37392894,0,0,NA,NA,NA,NA,NA,NA,NA,NA
54,1984,66.8,0.3504643296,0,0,NA,NA,NA,NA,69,0.37392894,0.466826114554666,20
54,1988,68.1,0.3642378894,0,0,-1.1,-11.7323052,-0.164670658682635,-0.0031375761394665,66.8,0.3504643296,0.440510068213685,4
54,1996,66.2,0.3441968376,0,0,3.24999999999999,34.4338995,0.477239353891335,0.00982522230987128,68.1,0.3642378894,0.460281986018419,12
54,2014,69.07325,0.374723283001279,0,0,-2.37499999999999,-25.0513147499999,-0.358761329305134,-0.00687773443648774,66.2,0.3441968376,0.48807847174425,18
55,1964,0.5,1.9635e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
55,1984,NA,NA,NA,1,NA,NA,NA,NA,0.5,1.9635e-05,1.15807984207354e-06,20
55,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
55,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
55,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
56,1964,0.9,6.36174e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
56,1984,NA,NA,NA,1,NA,NA,NA,NA,0.9,6.36174e-05,3.70990472485238e-05,20
56,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
56,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
56,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
57,1964,0.7,3.84846e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
57,1984,NA,NA,NA,1,NA,NA,NA,NA,0.7,3.84846e-05,1.52574994578081e-05,20
57,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
57,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
